carat,cut,color,clarity,table,x,price
2.04,4,6,4,58.0,8.09,9.734
0.9,2,4,6,58.0,6.11,8.5
0.7,1,4,1,56.0,5.52,6.886
1.05,5,3,4,58.0,6.5,8.875
2.0,5,2,2,60.0,8.15,9.71
1.25,5,7,3,55.0,6.91,8.632
1.02,3,3,2,57.0,6.43,8.389
0.77,5,7,4,62.0,5.87,7.57
0.41,3,1,7,57.0,4.8,7.22
1.02,5,5,2,59.0,6.54,8.363
1.62,3,6,4,55.0,7.53,9.259
0.9,4,5,3,57.0,6.14,8.142000000000001
0.3,5,6,8,59.0,4.34,6.697
1.2,5,2,2,58.0,6.84,8.622
1.25,3,1,6,60.0,6.93,9.472999999999999
0.42,4,1,6,60.0,4.88,7.14
1.33,5,4,2,58.0,7.16,8.79
1.14,3,1,2,56.0,6.69,8.517999999999999
0.33,3,1,5,56.0,4.46,6.91
0.41,3,5,7,57.0,4.74,6.95
0.33,4,3,4,58.0,4.45,6.501
1.2,4,4,2,57.0,6.73,8.566
0.38,3,1,5,56.0,4.67,6.974
0.31,4,4,3,62.0,4.39,6.136
0.9,2,1,3,58.0,6.12,8.33
0.39,3,1,6,54.6,4.67,7.002999999999999
0.44,2,5,3,57.0,4.82,6.597
0.31,3,2,4,55.0,4.31,6.599
0.32,5,1,2,60.0,4.41,6.356
0.4,2,2,2,54.0,4.73,6.682
0.52,3,3,4,56.0,5.12,7.396
1.11,5,5,2,59.0,6.67,8.447000000000001
1.01,4,2,3,58.0,6.33,8.668
0.53,3,2,4,55.0,5.23,7.579
1.72,4,1,3,58.0,7.63,9.677
0.81,4,1,2,57.0,5.91,7.97
0.32,5,5,5,58.0,4.4,6.579
0.34,3,4,7,55.0,4.46,6.797000000000001
0.54,3,3,4,57.0,5.2,7.416
0.55,3,1,3,56.0,5.26,7.391
0.38,5,7,3,59.0,4.62,6.24
1.0,2,4,2,60.0,6.22,8.21
0.35,2,1,5,56.0,4.49,6.497000000000001
0.44,2,3,3,54.0,4.85,6.877000000000001
1.13,5,4,6,58.0,6.73,8.99
1.02,3,5,4,55.0,6.47,8.645
1.0,5,3,6,60.0,6.46,9.042
0.44,4,5,7,56.0,4.83,6.9239999999999995
0.34,4,6,4,57.0,4.44,6.167999999999999
0.41,3,1,4,54.0,4.76,6.841
0.4,5,1,4,59.0,4.75,6.882000000000001
0.74,4,5,5,59.1,5.74,7.904
0.33,3,4,8,56.0,4.39,6.757999999999999
0.32,3,2,4,57.0,4.44,6.569
0.51,3,2,4,57.0,5.11,7.4879999999999995
1.23,3,5,3,56.0,6.83,8.681000000000001
0.33,4,4,3,59.0,4.42,6.1979999999999995
0.38,3,5,7,56.0,4.68,6.855
1.74,4,6,3,60.0,7.84,9.289
0.41,3,5,4,56.0,4.77,7.059
0.32,4,5,7,56.0,4.35,6.51
0.71,3,1,2,57.0,5.74,7.782
0.74,3,3,2,55.0,5.81,7.787000000000001
0.7,5,2,5,58.0,5.78,7.992000000000001
1.73,5,7,3,59.0,7.75,9.123
0.5,3,5,6,55.0,5.16,7.382999999999999
3.01,3,7,1,60.0,8.99,9.713
0.35,5,4,7,61.0,4.62,6.892
0.42,3,1,5,57.0,4.8,7.007999999999999
0.92,5,3,3,59.0,6.23,8.212
1.35,4,5,4,57.0,7.06,8.929
0.65,4,3,3,63.0,5.62,7.502999999999999
1.05,5,3,3,57.0,6.56,8.623
2.27,5,7,5,58.0,8.41,9.75
0.3,4,6,4,56.0,4.27,6.0089999999999995
0.61,3,6,4,57.0,5.43,7.394
1.0,4,5,7,60.0,6.28,8.703
0.32,4,5,5,58.0,4.37,6.33
1.6,3,5,2,56.0,7.51,9.152999999999999
1.0,5,2,2,59.0,6.48,8.503
0.3,5,3,4,58.0,4.35,6.654
0.72,4,4,4,57.0,5.71,7.815
1.0,5,5,2,58.0,6.45,8.274
1.04,4,1,3,60.0,6.49,8.562000000000001
0.51,5,4,7,56.0,5.35,7.655
1.02,5,1,4,57.0,6.64,8.833
0.54,4,3,5,58.0,5.24,7.502999999999999
0.53,3,4,6,54.0,5.22,7.626
0.81,3,7,3,56.0,6.0,7.744
1.16,2,5,3,58.6,6.61,8.578
0.83,3,5,2,57.0,6.08,7.697
0.65,1,3,4,64.0,5.7,7.54
1.0,5,6,3,59.0,6.54,8.343
1.01,4,3,5,59.0,6.52,8.828
1.09,5,5,4,58.0,6.64,8.644
0.7,3,5,3,57.0,5.64,7.7139999999999995
0.33,3,4,4,57.0,4.39,6.361000000000001
1.24,3,5,3,57.0,6.92,8.847999999999999
0.62,5,5,7,58.0,5.49,7.711
0.59,3,4,3,55.0,5.37,7.266
1.5,5,6,4,59.0,7.3,9.111
0.41,3,4,8,57.0,4.76,7.151
0.3,3,4,8,55.0,4.32,6.76
1.21,3,6,5,56.0,6.83,8.809
1.43,3,5,6,54.0,7.25,9.222999999999999
1.0,5,2,2,58.0,6.36,8.48
3.01,5,7,2,59.0,9.35,9.837
1.07,5,1,2,59.0,6.67,8.381
0.32,3,4,8,53.0,4.41,6.822
0.44,3,1,4,55.0,4.89,6.978
1.28,3,5,7,55.0,7.01,9.097000000000001
0.58,2,4,3,56.0,5.3,7.236000000000001
0.31,3,2,4,55.0,4.37,6.599
1.23,5,3,4,59.0,6.9,9.1
0.72,3,5,5,55.0,5.83,8.094
0.31,4,7,3,62.0,4.44,5.8660000000000005
0.61,2,6,4,60.0,5.34,7.122000000000001
1.14,5,3,2,58.0,6.79,8.519
0.31,3,4,8,54.0,4.38,6.792000000000001
0.43,3,4,5,55.0,4.84,6.849
0.39,5,3,7,58.0,4.75,7.162000000000001
0.33,3,6,2,55.0,4.49,5.999
2.22,5,6,3,58.0,8.33,9.554
0.39,3,1,7,58.0,4.72,7.0760000000000005
1.06,3,2,3,54.0,6.52,8.69
1.02,3,1,4,56.0,6.44,8.833
0.3,3,1,4,56.0,4.32,6.7379999999999995
0.43,5,3,5,58.0,4.93,7.029
0.41,3,2,7,57.0,4.82,7.3660000000000005
0.33,3,3,4,55.0,4.45,6.501
0.92,2,1,3,57.0,6.17,8.202
1.01,2,2,2,57.0,6.36,8.449
0.31,3,4,3,54.0,4.38,6.1
0.54,4,4,5,56.0,5.23,7.47
1.05,5,5,3,58.0,6.45,8.436
0.33,3,5,3,56.0,4.5,6.236000000000001
0.6,3,2,2,59.0,5.42,7.199
0.3,3,5,6,55.0,4.3,6.405
0.51,2,3,4,59.0,5.04,7.275
0.35,3,3,5,57.0,4.52,6.919
1.2,3,4,3,56.0,6.92,8.78
0.33,3,6,2,56.0,4.49,5.999
0.91,4,3,5,59.0,6.19,8.395
0.74,3,2,6,56.0,5.82,8.673
1.1,4,6,5,58.3,6.63,8.556000000000001
0.3,3,4,4,54.0,4.34,6.301
0.71,2,6,7,57.0,5.67,7.843
0.92,5,3,3,57.0,6.39,8.132
0.9,2,4,5,57.0,6.01,8.288
0.7,2,3,4,61.0,5.76,7.954
0.3,3,7,5,57.0,4.28,6.019
0.41,5,6,6,58.0,4.74,6.9670000000000005
0.5,2,4,5,56.0,5.3,7.265
1.21,5,6,5,59.0,6.86,8.62
0.25,3,3,7,56.0,4.01,6.558
0.32,2,1,4,63.0,4.48,6.686
1.02,4,4,3,59.0,6.41,8.459
1.03,3,2,2,54.0,6.52,8.538
0.87,4,5,2,56.0,6.15,8.004
0.75,5,1,3,54.0,6.0,7.922999999999999
0.54,3,3,5,55.0,5.26,7.697
1.04,5,1,7,58.0,6.61,9.34
2.31,5,6,2,58.0,8.7,9.741
1.51,5,4,5,60.0,7.19,9.573
0.38,5,6,4,58.0,4.61,6.7
0.33,3,4,8,55.0,4.51,6.957999999999999
1.01,5,5,3,54.0,6.48,8.457
0.34,5,6,7,59.0,4.4,6.439
0.71,5,2,4,58.0,5.53,7.886
0.55,3,3,6,57.0,5.28,7.874
1.0,5,2,3,60.0,6.38,8.61
1.85,3,6,6,57.0,7.91,9.564
0.79,3,2,3,54.0,6.01,8.093
0.38,3,1,3,55.0,4.64,6.529
0.51,3,1,4,56.0,5.14,7.485
1.52,3,7,2,56.0,7.28,8.714
0.4,3,1,3,57.0,4.78,6.851
0.25,4,2,6,56.0,4.0,6.306
0.32,5,6,7,61.0,4.45,6.627999999999999
0.35,4,6,5,62.0,4.53,6.314
0.52,3,3,2,55.0,5.18,7.022
0.31,2,1,3,55.0,4.31,6.2989999999999995
0.76,3,7,5,54.0,5.88,7.744
0.74,5,1,4,58.0,5.77,8.08
1.01,4,7,2,59.0,6.34,8.27
0.97,5,3,3,59.0,6.39,8.461
1.01,3,4,4,56.0,6.41,8.717
0.31,5,4,7,58.0,4.35,6.952999999999999
0.9,2,3,2,62.0,6.08,7.994
0.32,4,6,6,57.0,4.33,6.33
1.53,4,3,5,58.0,7.33,9.34
1.33,5,5,4,60.0,7.13,8.797
1.03,3,2,3,57.0,6.44,8.622
0.4,5,4,3,59.0,4.72,6.8020000000000005
1.51,5,4,3,59.0,7.32,9.282
0.41,5,4,4,59.0,4.8,6.649
1.26,4,1,4,57.0,7.03,9.19
0.72,3,3,4,54.0,5.76,8.003
0.3,2,5,6,60.0,4.24,6.405
0.58,3,1,4,57.0,5.42,7.501
0.5,5,3,1,58.0,5.15,6.746
0.43,3,5,4,54.0,4.85,6.657
1.75,3,5,1,54.9,7.75,8.892000000000001
1.14,3,5,4,56.0,6.68,8.715
0.92,4,3,2,56.0,6.19,8.262
1.01,4,4,7,59.0,6.47,9.033
0.51,5,1,2,58.0,5.11,7.143
0.43,2,6,4,57.0,4.96,6.545
0.75,5,4,4,58.0,5.85,7.922999999999999
0.39,4,4,5,58.0,4.63,6.682
0.3,2,4,5,55.0,4.26,6.405
0.42,4,2,2,58.0,4.91,6.438
1.04,3,5,2,56.0,6.48,8.39
0.51,3,3,4,55.0,5.12,7.431
0.31,3,5,3,58.0,4.37,6.0329999999999995
1.19,2,2,5,55.0,6.68,8.914
0.32,3,2,6,56.0,4.39,6.688
0.52,4,3,4,59.0,5.11,7.346
0.57,3,3,2,56.0,5.37,7.242000000000001
1.01,4,6,1,57.0,6.39,7.971
1.37,5,4,4,59.0,7.11,8.981
0.31,3,5,4,57.0,4.34,6.443
0.31,5,4,3,60.0,4.32,6.136
0.35,5,1,4,58.0,4.59,6.642
0.52,4,3,5,56.0,5.14,7.483
0.4,1,4,3,55.0,4.68,6.733
0.4,3,6,3,56.0,4.74,6.64
1.11,2,2,4,57.0,6.61,8.97
0.32,3,1,8,53.0,4.39,6.926
1.21,5,3,4,57.0,6.81,9.091000000000001
1.04,2,3,2,61.0,6.63,8.356
0.3,5,1,4,58.0,4.3,6.7379999999999995
0.7,4,1,4,62.0,5.71,7.952999999999999
0.96,2,2,2,62.0,6.16,8.137
0.9,3,5,4,57.0,6.27,8.43
1.51,4,6,4,60.0,7.29,9.087
0.71,3,1,6,57.0,5.7,8.325
1.59,3,7,3,57.0,7.43,8.98
0.41,5,4,5,60.0,4.7,6.801
0.31,4,4,8,56.0,4.41,6.778
1.01,4,5,3,59.0,6.36,8.484
0.36,3,5,7,56.0,4.54,6.711
0.71,1,4,5,55.0,5.62,7.896
0.9,4,6,5,58.0,6.14,8.145
1.01,4,3,5,58.0,6.32,8.854
0.44,5,4,5,59.0,4.87,6.938
0.41,5,3,4,56.0,4.84,7.0089999999999995
0.75,3,6,5,59.0,5.85,7.886
0.5,5,2,3,60.0,5.07,7.27
1.59,5,3,4,60.0,7.59,9.646
0.9,4,2,3,58.0,6.27,8.326
0.34,5,3,5,59.0,4.59,6.808
0.7,4,3,5,57.0,5.64,7.94
0.73,5,3,3,60.0,5.78,7.8260000000000005
1.25,2,5,3,58.0,6.81,8.822000000000001
0.32,2,2,3,55.0,4.31,6.377999999999999
1.02,3,5,3,58.0,6.47,8.566
0.42,4,1,4,59.0,4.76,6.865
0.38,3,6,6,54.0,4.65,6.891
0.8,5,1,6,59.0,5.95,8.35
1.77,5,4,2,59.0,7.67,9.176
0.93,4,3,1,59.0,6.22,7.772
0.53,5,3,1,58.0,5.22,6.787000000000001
0.37,5,4,4,59.0,4.64,6.475
0.51,5,5,4,61.0,5.26,7.215
1.5,1,5,5,60.0,7.37,9.306000000000001
1.02,3,5,1,56.0,6.45,8.291
1.01,4,2,2,54.0,6.43,8.375
1.02,5,3,5,55.0,6.43,8.946
0.42,2,5,3,57.0,4.74,6.482
1.24,3,4,5,55.0,6.85,9.301
0.38,5,1,2,56.0,4.79,6.39
0.9,2,7,4,63.0,6.32,8.138
0.4,5,2,3,57.0,4.7,6.829
0.34,3,2,6,55.0,4.46,7.03
0.7,4,4,6,57.0,5.59,7.894
0.42,5,5,7,58.0,4.79,6.974
0.8,1,4,2,55.0,5.86,7.747999999999999
1.01,4,1,3,56.0,6.3,8.721
0.81,5,4,2,57.0,6.14,7.729
0.28,4,4,4,57.0,4.21,6.1979999999999995
2.0,5,4,2,60.0,8.1,9.546
1.55,5,5,3,59.0,7.45,9.238
1.1,3,3,6,56.0,6.66,9.258
0.3,5,2,3,58.0,4.32,6.564
0.33,5,5,5,59.0,4.4,6.611000000000001
0.32,5,5,3,58.0,4.38,6.132999999999999
0.52,3,1,2,57.0,5.18,7.252999999999999
0.42,3,4,8,54.0,4.81,7.162000000000001
0.43,2,4,2,61.0,4.92,6.494
0.91,2,4,4,61.0,6.2,8.325
0.7,3,3,3,55.0,5.71,7.784
0.55,3,4,8,57.0,5.26,7.776
0.9,4,5,4,57.0,6.09,8.385
1.11,5,5,3,58.0,6.64,8.6
1.04,3,6,3,57.0,6.49,8.377
1.02,4,1,3,55.0,6.3,8.565
1.0,5,4,2,59.0,6.55,8.052999999999999
1.08,4,4,2,57.0,6.54,8.371
1.11,5,5,2,59.0,6.61,8.346
2.02,5,4,2,56.0,8.22,9.737
0.7,4,5,4,57.0,5.58,7.667000000000001
0.5,3,3,5,58.0,5.07,7.377999999999999
1.16,5,7,3,58.0,6.73,8.347999999999999
1.21,3,6,5,60.0,6.89,8.745
0.9,5,3,2,62.0,6.06,8.074
1.71,2,1,3,58.0,7.54,9.411
0.3,5,4,6,59.0,4.26,6.778
0.37,5,1,4,59.0,4.59,6.6979999999999995
1.25,3,3,5,55.0,6.91,9.168
0.52,3,1,4,55.0,5.22,7.477
1.29,3,7,4,58.0,7.05,8.639
1.46,5,4,5,58.0,7.2,9.405
1.2,5,5,2,58.0,6.81,8.662
1.65,3,6,4,57.0,7.59,9.433
0.9,4,5,3,61.0,6.12,8.084
1.0,4,5,2,54.0,6.3,8.292
0.41,4,3,2,58.0,4.78,6.472
0.76,4,5,3,58.0,5.88,7.8870000000000005
0.36,3,5,8,57.0,4.55,6.853
2.03,4,4,3,54.0,8.07,9.826
0.53,4,4,2,58.0,5.19,6.975
0.33,5,1,6,59.0,4.44,6.608
0.91,3,4,4,57.0,6.18,8.356
2.01,1,4,2,59.0,7.77,9.602
0.3,3,1,4,56.0,4.29,6.489
0.24,4,4,7,56.0,3.98,6.223
1.22,4,5,3,60.0,6.83,8.711
1.01,4,1,3,55.0,6.38,8.78
0.43,5,5,5,59.0,4.98,7.015
0.31,3,5,4,55.0,4.35,6.192
2.52,3,6,3,56.0,8.76,9.754
0.7,3,4,4,54.0,5.65,8.062000000000001
0.51,3,2,2,55.0,5.12,7.142
1.04,1,1,2,56.0,6.28,8.426
1.31,4,6,5,58.0,6.99,8.837
1.14,3,4,8,57.0,6.7,9.241
0.8,3,2,2,54.0,5.98,8.211
1.21,2,7,2,55.0,6.81,8.359
0.27,3,1,6,55.0,4.24,6.632999999999999
1.05,3,4,5,56.0,6.62,8.926
0.63,4,2,3,57.0,5.4,7.542000000000001
1.07,3,4,4,55.0,6.53,8.933
0.3,2,1,6,64.0,4.34,6.933
0.36,3,3,5,56.0,4.61,6.688
1.01,3,5,3,56.0,6.38,8.629
1.5,3,4,4,55.0,7.26,9.456
1.0,4,3,6,55.0,6.49,9.015
2.02,4,5,2,58.0,7.97,9.62
1.51,1,4,2,55.0,7.14,9.082
0.5,3,1,5,57.0,5.1,7.38
0.4,3,1,4,56.0,4.67,6.855
0.91,2,4,4,58.0,6.1,8.356
0.63,3,1,4,56.0,5.48,7.829
0.54,3,4,4,57.0,5.23,7.401
0.71,3,3,7,56.0,5.77,8.521
1.0,1,5,5,68.0,6.52,8.382
1.61,4,7,4,59.0,7.46,8.949
0.33,3,7,5,55.0,4.44,6.3229999999999995
1.21,5,5,3,58.0,7.02,8.704
0.37,5,3,4,58.0,4.63,6.615
1.08,1,1,3,63.0,6.99,8.474
0.91,5,5,2,58.0,6.17,8.121
0.35,3,7,5,56.0,4.56,6.17
0.46,5,2,7,59.0,5.0,7.5489999999999995
0.54,3,1,2,57.0,5.25,7.127999999999999
0.5,4,1,2,56.0,5.09,7.074
0.23,4,2,7,58.0,3.91,6.273
0.92,4,2,1,58.0,6.13,7.891
0.63,3,5,4,54.0,5.51,7.403
0.41,4,1,5,58.0,4.7,6.984
1.02,3,6,3,55.0,6.43,8.29
1.54,5,5,4,59.0,7.35,9.277999999999999
0.51,3,1,3,55.0,5.11,7.271
0.31,3,5,5,57.0,4.34,6.2989999999999995
0.91,5,5,4,60.0,6.29,8.257
1.08,3,7,3,56.0,6.58,8.417
0.9,4,4,3,56.0,6.11,8.28
0.52,3,2,2,55.0,5.16,7.164
0.53,3,2,4,56.0,5.18,7.414
0.31,4,4,6,58.0,4.32,6.81
0.5,4,1,4,59.0,4.99,7.277
1.01,3,6,5,57.0,6.42,8.292
0.53,3,4,5,55.0,5.17,7.4510000000000005
0.67,2,3,5,60.3,5.62,7.816
0.37,5,1,4,59.0,4.6,6.9479999999999995
0.4,5,2,2,58.0,4.71,6.501
0.9,4,4,3,57.0,6.09,8.202
0.33,5,4,4,58.0,4.45,6.611000000000001
0.56,3,2,4,57.0,5.33,7.632999999999999
0.74,4,4,5,59.0,5.9,8.128
0.52,2,3,5,58.0,5.1,7.518
0.7,5,6,2,59.0,5.64,7.255
0.72,4,5,2,56.0,5.75,7.577000000000001
0.51,5,1,3,58.0,5.11,7.202999999999999
1.0,2,1,4,56.0,6.37,8.669
1.05,3,4,4,57.0,6.58,8.777000000000001
0.51,3,3,4,56.0,5.12,7.445
0.33,3,2,3,54.0,4.45,6.354
0.84,2,3,1,64.0,6.05,7.4670000000000005
0.7,5,3,3,59.0,5.83,7.885
0.71,3,3,7,56.0,5.73,8.521
0.94,4,4,2,59.0,6.2,8.117
0.4,3,4,2,56.0,4.73,6.449
1.77,2,7,2,60.0,7.61,9.001
0.32,4,1,3,54.0,4.41,6.51
1.01,4,2,3,57.0,6.53,8.618
0.7,4,1,4,59.0,5.63,7.99
0.96,2,5,2,62.0,6.51,8.147
0.4,5,2,3,59.0,4.8,6.898
1.5,3,6,6,60.0,7.35,9.299
0.41,5,7,5,58.0,4.75,6.472
0.31,4,4,7,55.0,4.36,6.619
0.51,3,4,7,59.0,5.16,7.546
0.4,3,4,5,57.0,4.68,6.707999999999999
0.76,4,5,4,61.0,5.96,7.8629999999999995
0.31,3,5,7,55.0,4.37,6.532
1.01,4,3,3,59.0,6.49,8.491
0.32,3,5,6,56.0,4.4,6.468999999999999
0.43,3,4,8,55.0,4.86,7.428
0.4,3,3,7,56.0,4.78,7.553999999999999
0.51,4,4,4,55.0,5.13,7.242000000000001
1.02,1,3,2,59.0,6.27,8.231
0.35,5,1,2,59.0,4.56,6.446000000000001
0.9,4,3,3,57.0,6.13,8.541
1.01,4,1,3,60.0,6.45,8.623
1.21,3,4,5,54.0,6.8,9.14
0.3,5,3,3,60.0,4.37,6.462999999999999
1.67,4,6,4,60.0,7.61,9.227
0.38,5,5,4,58.0,4.7,6.8
0.55,4,3,4,57.0,5.23,7.4239999999999995
2.15,3,6,3,56.0,8.38,9.472999999999999
0.41,2,7,4,56.0,4.7,6.415
1.01,4,3,4,56.0,6.41,8.743
1.02,5,1,3,58.0,6.46,8.552999999999999
1.16,5,5,3,58.0,6.86,8.479
1.02,5,3,5,58.0,6.5,8.921
0.51,3,1,2,56.0,5.16,7.001
1.21,5,7,6,60.0,6.86,8.626
0.32,3,6,8,54.0,4.44,6.5120000000000005
1.53,3,3,3,56.0,7.38,9.443
1.02,3,1,5,57.0,6.52,8.999
1.5,4,2,3,61.0,7.28,9.372
0.7,2,5,4,57.0,5.53,7.667000000000001
0.4,4,4,3,58.0,4.71,6.733
0.43,3,4,5,55.0,4.86,6.916
0.3,4,3,8,55.0,4.3,6.787000000000001
1.06,3,1,4,57.0,6.54,9.115
0.3,3,4,7,55.0,4.33,6.638999999999999
0.9,4,6,8,59.0,6.12,8.433
0.36,4,5,4,54.0,4.59,6.5920000000000005
1.01,3,3,4,55.0,6.38,8.901
0.3,5,1,4,58.0,4.24,6.7379999999999995
0.3,4,3,5,60.0,4.39,6.461
1.14,3,4,5,56.0,6.67,9.115
0.3,3,2,5,58.0,4.31,6.609
0.41,4,1,6,54.0,4.72,7.079
0.93,5,7,4,59.0,6.34,8.047
0.33,5,6,5,58.0,4.4,6.256
0.38,3,3,3,57.0,4.7,6.492000000000001
0.5,4,2,8,59.0,4.99,8.125
0.4,4,1,3,57.0,4.72,6.782
0.4,4,1,3,59.0,4.7,6.561
1.02,5,3,3,60.0,6.58,8.646
0.71,2,3,3,58.0,5.61,7.722
1.01,5,3,3,54.0,6.42,8.361
0.3,4,1,6,55.0,4.25,6.733
0.33,3,4,5,56.0,4.45,6.75
0.31,3,5,3,55.0,4.36,6.042999999999999
0.71,5,1,2,61.0,5.79,7.648
0.33,5,4,8,59.0,4.54,6.997999999999999
0.41,5,2,3,58.0,4.75,6.922999999999999
0.62,3,3,2,58.0,5.44,7.277
1.01,4,3,3,57.0,6.44,8.551
0.31,3,2,6,57.0,4.31,6.641
1.02,4,6,4,59.0,6.57,8.468
1.03,4,2,3,54.0,6.53,8.691
0.42,5,5,3,58.0,4.84,6.551
0.9,4,6,4,64.0,6.1,8.19
0.42,5,6,3,58.0,4.8,6.688
0.9,1,2,3,59.0,5.97,8.126
0.55,5,1,4,56.0,5.28,7.54
0.3,5,5,6,56.0,4.28,6.654
1.26,4,4,3,60.0,6.85,8.815
0.31,5,3,4,60.0,4.39,6.438
0.3,3,3,5,56.0,4.33,6.489
1.53,5,3,3,56.0,7.47,9.339
0.5,3,3,2,57.0,5.16,7.093
1.21,3,1,5,56.0,6.82,9.402000000000001
1.4,4,4,5,56.0,7.31,9.357000000000001
0.3,3,2,6,58.0,4.3,6.702000000000001
0.43,5,5,1,59.0,4.83,6.365
2.29,5,5,2,58.0,8.43,9.779
1.04,3,3,6,56.0,6.46,9.118
0.43,3,1,3,56.2,4.87,6.688
0.35,5,5,4,62.0,4.62,6.564
0.31,3,5,4,56.0,4.36,6.229
0.31,4,1,3,55.0,4.29,6.479
0.23,3,4,3,54.0,3.95,5.897
0.36,4,1,5,58.0,4.61,6.796
1.0,2,3,3,58.0,6.31,8.505
0.5,5,3,5,59.0,5.19,7.475
1.51,4,6,2,60.0,7.19,8.827
0.45,1,3,5,54.0,4.85,6.851
0.33,3,4,7,57.0,4.49,6.731
0.34,3,3,4,55.0,4.47,6.531000000000001
0.31,3,4,4,54.0,4.41,6.547999999999999
1.78,4,2,2,57.0,7.76,9.471
0.77,3,4,4,56.0,5.85,8.044
0.9,5,4,4,58.0,6.2,8.3
1.2,4,6,4,59.0,6.73,8.652000000000001
0.25,3,5,4,55.0,4.11,6.157
0.4,4,3,5,59.0,4.68,6.843999999999999
1.07,3,3,2,55.0,6.56,8.564
1.03,5,3,4,59.0,6.6,8.581
0.76,3,2,6,57.0,5.84,8.347999999999999
0.77,3,3,5,58.0,5.91,8.204
0.44,3,1,7,55.0,4.92,7.5329999999999995
0.3,4,5,7,54.0,4.34,6.707999999999999
1.2,4,4,2,60.0,6.78,8.648
0.41,3,4,6,56.0,4.74,6.981
1.45,1,7,2,68.0,7.45,8.427
0.5,4,3,4,55.0,5.04,7.27
0.31,2,5,6,56.0,4.28,6.438
0.95,5,4,2,56.0,6.41,8.222999999999999
0.9,4,1,4,60.0,6.14,8.457
1.26,5,3,5,58.0,6.86,9.2
1.0,1,4,5,65.0,6.31,8.402000000000001
1.0,5,3,5,55.0,6.39,8.862
1.21,3,5,3,55.0,6.82,8.814
